Phase,Block,Title,Owner,Confirmer,Challenger,Status,EvidencePath,OpenDefects
01,A,Establish source-of-truth files,Evidence Steward,Architecture Confirmer,Architecture Challenger,Complete,evidence/block-a/phase-01/,0
02,A,Create feature truth matrix,Evidence Steward,Architecture Confirmer,Architecture Challenger,Complete,evidence/block-a/phase-02/,0
03,A,Create defect ledger,Program Director,Evidence Steward,Architecture Challenger,Complete,evidence/block-a/phase-03/,0
04,A,Create run ledger,Program Director,Evidence Steward,Architecture Challenger,Complete,evidence/block-a/phase-04/,0
05,A,Capture current-state capability inventory,Architecture Owner,Architecture Confirmer,Architecture Challenger,Complete,evidence/block-a/phase-05/,0
06,A,Define architecture boundaries,Architecture Owner,Architecture Confirmer,Architecture Challenger,Complete,evidence/block-a/phase-06/,0
07,A,Index config paths and env vars,Architecture Owner,Architecture Confirmer,Architecture Challenger,Complete,evidence/block-a/phase-07/,1
08,A,Define evidence bundle layout,Evidence Steward,Program Director,Architecture Challenger,Complete,evidence/block-a/phase-08/,0
09,A,Define completion gates and hard-stop rules,Program Director,Release Judge,Architecture Challenger,Complete,evidence/block-a/phase-09/,0
10,A,Baseline drift scan,Architecture Owner,Evidence Steward,Architecture Challenger,Complete,evidence/block-a/phase-10/,2
11,B,Define top 12 operator workflows,,,,Planned,,
12,B,Risk-score workflows,,,,Planned,,
13,B,Map approval requirements,,,,Planned,,
14,B,Map provider requirements,,,,Planned,,
15,B,Map memory requirements,,,,Planned,,
16,B,Map execution substrate requirements,,,,Planned,,
17,C,SSH profile schema,,,,Planned,,
18,C,SSH host groups and labels,,,,Planned,,
19,C,Key management and validation flow,,,,Planned,,
20,C,Jump-host support,,,,Planned,,
21,C,Terminal tabs and reconnect,,,,Planned,,
22,C,SFTP browser,,,,Planned,,
23,C,Remote edit/save flow,,,,Planned,,
24,C,Diff-before-save flow,,,,Planned,,
25,C,Remote logs/transcript capture,,,,Planned,,
26,C,Permission-denied and host-down failure paths,,,,Planned,,
27,D,VPS inventory model,,,,Planned,,
28,D,CPU/RAM/disk panels,,,,Planned,,
29,D,Service/process panels,,,,Planned,,
30,D,Docker/Compose panels,,,,Planned,,
31,D,Reverse proxy and app-service controls,,,,Planned,,
32,D,Backup/restore runbooks,,,,Planned,,
33,D,Deploy and rollback quick-actions,,,,Planned,,
34,D,Incident and recovery flow,,,,Planned,,
35,E,Task intake schema,,,,Planned,,
36,E,Execution risk levels,,,,Planned,,
37,E,Hermes-ZeroClaw adapter contract,,,,Planned,,
38,E,Workspace scope rules,,,,Planned,,
39,E,Network policy rules,,,,Planned,,
40,E,Low-risk auto path,,,,Planned,,
41,E,Medium-risk buffered diff path,,,,Planned,,
42,E,High-risk approval gate,,,,Planned,,
43,E,Artifact/log/result return surfaces,,,,Planned,,
44,E,Rollback/retry behavior,,,,Planned,,
45,F,Provider role matrix,,,,Planned,,
46,F,Claude lane,,,,Planned,,
47,F,MiniMax lane,,,,Planned,,
48,F,SiliconFlow lane,,,,Planned,,
49,F,Ollama/LM Studio local lane,,,,Planned,,
50,F,Health and env validation,,,,Planned,,
51,F,Wrong-role block/reroute,,,,Planned,,
52,F,Cost/trace/fallback display,,,,Planned,,
53,G,Shiba connectivity status,,,,Planned,,
54,G,Recall trace panel,,,,Planned,,
55,G,Memory write history,,,,Planned,,
56,G,Project-scoped memory model,,,,Planned,,
57,G,Cross-agent recall workflow,,,,Planned,,
58,G,Memory failure-path handling,,,,Planned,,
59,H,Dataset registry,,,,Planned,,
60,H,Dataset validation/preprocessing,,,,Planned,,
61,H,Training job templates,,,,Planned,,
62,H,Local vs remote GPU target selection,,,,Planned,,
63,H,Job monitoring panels,,,,Planned,,
64,H,Checkpoint resume/stop,,,,Planned,,
65,H,Compare-runs workflow,,,,Planned,,
66,H,Export/package workflow,,,,Planned,,
67,I,Authority tiers,,,,Planned,,
68,I,Approval modal + audit history,,,,Planned,,
69,I,Dangerous action deny/gate rules,,,,Planned,,
70,I,CI/CD build package release rollback panels,,,,Planned,,
71,I,Adversarial final audit,,,,Planned,,
72,I,Release verdict + packaging,,,,Planned,,
